"""Preliminär Huvudbok""";;;;;;;;
Samis Jackets AB;;;;;;;;
559489-5301;;;;;;;;
"""Utskriftsdatum"": den 6 January 2026 18:53:59";;;;;;;;
;;;;;;;;
"""Räkenskapsår:"" 2024-07-01 - 2025-12-31";;;;;;;;
"""Avser perioden"" 2024-07-01 - 2025-12-31";;;;;;;;
;;;;;;;;
;;;;;;;;
"""Konto""";"""Verifikation""";"""Datum""";"""Beskrivning""";"""Momskod""";"""Moms""";"""Debet""";"""Kredit""";"""Saldo"""
1220 Inventarier och verktyg;;;;;;;;
;A 629;2025-07-01;Bank fee - Marginalen monthly;;;;70,00;54 712,10
;A 630;2025-07-03;Lagar Hyra office rent;;;;1 956,00;52 756,10
;A 631;2025-07-03;Visma software;;;;1 872,00;50 884,10
;A 632;2025-07-03;Hyra Butik shop rent;;;;20 550,00;30 334,10
;A 633;2025-07-03;Lagar Hyra office rent duplicate;;;;1 956,00;28 378,10
;A 634;2025-07-03;Worldline card sales;;;865,64;;29 243,74
;A 641;2025-07-07;Bolagsverket registration fee;;;;507,00;28 736,74
;A 642;2025-07-07;VAT payment to Skatteverket - Q2 balance;;;;20 707,00;8 029,74
;A 643;2025-07-07;Easy Cashier POS system;;;;3 435,00;4 594,74
;A 644;2025-07-07;Worldline card sales;;;3 806,83;;8 401,57
;A 645;2025-07-08;Worldline card sales;;;2 221,81;;10 623,38
;A 646;2025-07-10;Worldline card sales;;;1 343,23;;11 966,61
;A 648;2025-07-14;Worldline card sales;;;2 837,70;;14 804,31
;A 649;2025-07-15;Worldline card sales;;;743,25;;15 547,56
;A 650;2025-07-17;Worldline card sales;;;3 845,66;;19 393,22
;A 651;2025-07-18;Arbetsformedlingen government subsidy;;;9 119,00;;28 512,22
;A 652;2025-07-18;Administrative fee payment;;;;500,00;28 012,22
;A 653;2025-07-21;Worldline card sales;;;198,00;;28 210,22
;A 654;2025-07-21;Worldline card sales;;;493,50;;28 703,72
;A 655;2025-07-22;Administrative fee payment;;;;250,00;28 453,72
;A 656;2025-07-24;Shareholder loan repayment;;;;15 274,28;13 179,44
;A 657;2025-07-24;Bredband internet service;;;;625,00;12 554,44
